Vir: 49640, Phy: 15336, Data: 0
Vir: 28290, Phy: 2178, Data: 27
Vir: 44817, Phy: 15377, Data: 0
Vir: 8565, Phy: 20085, Data: 0
Vir: 16399, Phy: 15631, Data: 3
Vir: 41934, Phy: 6606, Data: 40
Vir: 45457, Phy: 16017, Data: 0
Vir: 33856, Phy: 10560, Data: 0
Vir: 19498, Phy: 22570, Data: 19
Vir: 17661, Phy: 9725, Data: 0
Vir: 63829, Phy: 21845, Data: 0
Vir: 42034, Phy: 16178, Data: 41
Vir: 28928, Phy: 16384, Data: 0
Vir: 30711, Phy: 16631, Data: -3
Vir: 8800, Phy: 16736, Data: 0
Vir: 52335, Phy: 17007, Data: 27
Vir: 38775, Phy: 17271, Data: -35
Vir: 52704, Phy: 30176, Data: 0
Vir: 24380, Phy: 17468, Data: 0
Vir: 19602, Phy: 22674, Data: 19
Vir: 57998, Phy: 17806, Data: 56
Vir: 2919, Phy: 18023, Data: -39
Vir: 8362, Phy: 18346, Data: 8
Vir: 17884, Phy: 18652, Data: 0
Vir: 45737, Phy: 18857, Data: 0
Vir: 47894, Phy: 25622, Data: 46
Vir: 59667, Phy: 18963, Data: 68
Vir: 10385, Phy: 19345, Data: 0
Vir: 52782, Phy: 19502, Data: 51
Vir: 64416, Phy: 19872, Data: 0
Vir: 40946, Phy: 20210, Data: 39
Vir: 16778, Phy: 20362, Data: 16
Vir: 27159, Phy: 28695, Data: -123
Vir: 24324, Phy: 17412, Data: 0
Vir: 32450, Phy: 20674, Data: 31
Vir: 9108, Phy: 20884, Data: 0
Vir: 65305, Phy: 30489, Data: 0
Vir: 19575, Phy: 22647, Data: 29
Vir: 11117, Phy: 7789, Data: 0
Vir: 65170, Phy: 21138, Data: 63
Vir: 58013, Phy: 17821, Data: 0
Vir: 61676, Phy: 23276, Data: 0
Vir: 63510, Phy: 28182, Data: 62
Vir: 17458, Phy: 9522, Data: 17
Vir: 54675, Phy: 21395, Data: 100
Vir: 1713, Phy: 12721, Data: 0
Vir: 55105, Phy: 21569, Data: 0
Vir: 65321, Phy: 30505, Data: 0
Vir: 45278, Phy: 21982, Data: 44
Vir: 26256, Phy: 22160, Data: 0
Vir: 64198, Phy: 22470, Data: 62
Vir: 29441, Phy: 22529, Data: 0
Vir: 1928, Phy: 392, Data: 0
Vir: 39425, Phy: 12289, Data: 0
